القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),RPG,10/10,Role-Playing Game,لعبة تقمص الأدوار
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),FPS,10/10,First-Person Shooter,تصويب منظور الشخص الأول
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),MMO,9.5/10,Massively Multiplayer Online,لعبة كثيفة اللاعبين على الإنترنت
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),NPC,9/10,Non-Player Character,شخصية غير قابلة للعب
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),PVP,9.5/10,Player vs Player,لاعب ضد لاعب
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),PVE,9/10,Player vs Environment,لاعب ضد البيئة
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),ARPG,8.5/10,Action Role-Playing Game,تقمص أدوار أكشن
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),MOBA,10/10,Multiplayer Online Battle Arena,حلبة معركة جماعية عبر الإنترنت
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),RTS,9/10,Real-Time Strategy,استراتيجية الوقت الفعلي
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),HUD,8.5/10,Heads-Up Display,شاشة العرض الرأسية (داخل اللعبة)
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),RNG,8.5/10,Random Number Generation,توليد الأرقام العشوائية
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),AFK,9/10,Away From Keyboard,بعيد عن لوحة المفاتيح
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),EXP,10/10,Experience Points,نقاط الخبرة
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),DLC,9.5/10,Downloadable Content,محتوى قابل للتنزيل
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),LAN,10/10,Local Area Network,شبكة محلية (بطولات الألعاب)
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),GDC,9/10,Game Developers Conference,مؤتمر مطوري الألعاب
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),IAP,9.5/10,In-App Purchases,عمليات الشراء داخل التطبيق
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),F2P,10/10,Free to Play,ألعاب مجانية للعب
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),P2E,10/10,Play to Earn,العب لتربح (ألعاب البلوك تشين)
ألعاب الفيديو والرياضات الإلكترونية (Gaming & Esports),LFG,9/10,Looking For Group,البحث عن مجموعة للعب
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),ESG,10/10,Environmental Social Governance,البيئة والمجتمع والحوكمة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),GHG,9/10,Greenhouse Gas,غازات الاحتباس الحراري
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),CO2,10/10,Carbon Dioxide,ثاني أكسيد الكربون
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),CSR,9.5/10,Corporate Social Responsibility,المسؤولية الاجتماعية للشركات
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),SDG,9/10,Sustainable Development Goals,أهداف التنمية المستدامة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),LCA,8.5/10,Life Cycle Assessment,تقييم دورة الحياة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),PPA,9/10,Power Purchase Agreement,اتفاقية شراء الطاقة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),RES,9/10,Renewable Energy Sources,مصادر الطاقة المتجددة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),VPP,8.5/10,Virtual Power Plant,محطة طاقة افتراضية
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),DER,8.5/10,Distributed Energy Resources,موارد الطاقة الموزعة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),BESS,9/10,Battery Energy Storage System,نظام تخزين طاقة البطارية
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),BMS,9.5/10,Battery Management System,نظام إدارة البطارية
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),EMS,9.5/10,Energy Management System,نظام إدارة الطاقة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),REC,8.5/10,Renewable Energy Certificate,شهادة الطاقة المتجددة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),EVSE,9/10,Electric Vehicle Supply Equipment,معدات إمداد المركبات الكهربائية
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),DAC,8/10,Direct Air Capture,الالتقاط المباشر من الهواء
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),CCUS,8.5/10,Carbon Capture Utilization and Storage,التقاط الكربون واستخدامه وتخزينه
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),LCOE,8/10,Levelized Cost of Energy,التكلفة المستوية للطاقة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),LEED,10/10,Leadership in Energy and Environmental Design,الريادة في تصميم الطاقة والبيئة
الطاقة المتجددة والتكنولوجيا الخضراء (CleanTech),FIT,8.5/10,Feed-In Tariff,تعريفة التغذية الكهربائية
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),EV,10/10,Electric Vehicle,مركبة كهربائية
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),HEV,9/10,Hybrid Electric Vehicle,مركبة كهربائية هجينة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),PHEV,9/10,Plug-in Hybrid Electric Vehicle,مركبة هجينة قابلة للشحن
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),BEV,9.5/10,Battery Electric Vehicle,مركبة كهربائية تعمل بالبطارية
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),FCEV,8.5/10,Fuel Cell Electric Vehicle,مركبة كهربائية تعمل بخلية الوقود
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),ADAS,9.5/10,Advanced Driver Assistance Systems,أنظمة مساعدة السائق المتقدمة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),AV,10/10,Autonomous Vehicle,مركبة ذاتية القيادة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),OEM,10/10,Original Equipment Manufacturer,الشركة المصنعة للمعدات الأصلية
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),V2G,9/10,Vehicle-to-Grid,من المركبة إلى الشبكة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),V2X,9.5/10,Vehicle-to-Everything,من المركبة إلى كل شيء
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),OBD,9/10,On-Board Diagnostics,التشخيص على متن المركبة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),VIN,10/10,Vehicle Identification Number,رقم تعريف المركبة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),ECU,9/10,Electronic Control Unit,وحدة التحكم الإلكترونية
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),CAV,9/10,Connected and Autonomous Vehicles,المركبات المتصلة والمستقلة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),MAAS,10/10,Mobility as a Service,التنقل كخدمة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),TAAS,9.5/10,Transportation as a Service,النقل كخدمة
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),ICE,9/10,Internal Combustion Engine,محرك الاحتراق الداخلي
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),LPR,8.5/10,License Plate Recognition,التعرف على لوحة الترخيص
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),DRL,8/10,Daytime Running Lights,مصابيح القيادة النهارية
تكنولوجيا السيارات والمركبات (AutoTech & Mobility),TPMS,8.5/10,Tire Pressure Monitoring System,نظام مراقبة ضغط الإطارات
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),OTA,10/10,Online Travel Agency,وكالة سفر عبر الإنترنت
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),GDS,9.5/10,Global Distribution System,نظام التوزيع العالمي
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),PMS,10/10,Property Management System,نظام إدارة الممتلكات (للفنادق)
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),BNB,10/10,Bed and Breakfast,سرير وإفطار (استضافة)
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),CRS,9/10,Computerized Reservation System,نظام الحجز المحوسب
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),MICE,9.5/10,Meetings Incentives Conferences Exhibitions,الاجتماعات والمؤتمرات والمعارض
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),ADR,9/10,Average Daily Rate,متوسط السعر اليومي للغرفة
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),PAX,10/10,Passengers,الركاب
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),TSA,9/10,Transportation Security Administration,إدارة أمن النقل
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),IATA,10/10,International Air Transport Association,اتحاد النقل الجوي الدولي
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),FAM,8.5/10,Familiarization Tour,جولة تعريفية
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),BKG,10/10,Booking,حجز
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),DMO,9/10,Destination Marketing Organization,منظمة تسويق الوجهة
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),DMC,9/10,Destination Management Company,شركة إدارة الوجهة
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),LCC,9/10,Low-Cost Carrier,ناقل جوي منخفض التكلفة
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),VIP,10/10,Very Important Person,شخصية هامة جداً
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),PNR,9/10,Passenger Name Record,سجل اسم الراكب
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),ITIN,9/10,Itinerary,مسار الرحلة
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),RTW,8.5/10,Round The World,تذكرة حول العالم
السفر والسياحة وتكنولوجيا الضيافة (TravelTech),FIT,8.5/10,Free Independent Traveler,مسافر مستقل
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),VFX,10/10,Visual Effects,مؤثرات بصرية
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),CGI,10/10,Computer-Generated Imagery,صور منشأة بالحاسوب
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),SFX,10/10,Special Effects,مؤثرات خاصة
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),SVOD,9.5/10,Subscription Video on Demand,فيديو حسب الطلب باشتراك (زي نتفليكس)
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),AVOD,9/10,Advertising Video on Demand,فيديو حسب الطلب مدعوم بالإعلانات (زي يوتيوب)
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),TVOD,8.5/10,Transactional Video on Demand,فيديو حسب الطلب بالدفع لكل عرض
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),FAST,9.5/10,Free Ad-supported Streaming TV,تلفزيون بث مجاني مدعوم بالإعلانات
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),DRM,9/10,Digital Rights Management,إدارة الحقوق الرقمية
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),IP,10/10,Intellectual Property,ملكية فكرية
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),DP,9/10,Director of Photography,مدير التصوير
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),EP,9/10,Executive Producer,منتج منفذ
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),PA,8.5/10,Production Assistant,مساعد إنتاج
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),BGM,9/10,Background Music,موسيقى تصويرية
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),OST,10/10,Original Soundtrack,الموسيقى التصويرية الأصلية
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),MCN,9/10,Multi-Channel Network,شبكة متعددة القنوات (لليوتيوب)
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),ENG,8.5/10,Electronic News Gathering,جمع الأخبار إلكترونياً
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),SNG,8/10,Satellite News Gathering,جمع الأخبار عبر الأقمار الصناعية
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),DTH,9/10,Direct-to-Home,البث المباشر للمنازل
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),IPTV,10/10,Internet Protocol Television,تلفزيون بروتوكول الإنترنت
صناعة الإعلام والترفيه والإنتاج (Media & Entertainment),NLE,8.5/10,Non-Linear Editing,تحرير غير خطي للفيديو
